date,e5,e10,disel
30-05-16 4:00:00,1299,0,1069
30-05-16 4:04:00,1299,0,1069
30-05-16 4:08:00,1299,0,1069
30-05-16 4:12:00,1299,0,1069
30-05-16 4:16:00,1299,0,1069
30-05-16 4:20:00,1299,0,1069
30-05-16 4:24:00,1299,0,1069
30-05-16 4:28:00,1299,0,1069
30-05-16 4:32:00,1299,0,1069
30-05-16 4:36:00,1299,0,1069
30-05-16 4:40:00,1299,0,1069
30-05-16 4:44:00,1299,0,1069
30-05-16 4:48:00,1299,0,1069
30-05-16 4:52:00,1299,0,1069
30-05-16 4:56:00,1299,0,1069
30-05-16 5:00:00,1299,0,1069
30-05-16 5:04:00,1299,0,1069
30-05-16 5:08:00,1299,0,1069
30-05-16 5:12:00,1299,0,1069
30-05-16 5:16:00,1299,0,1069
30-05-16 5:20:00,1299,0,1069
30-05-16 5:24:00,1299,0,1069
30-05-16 5:28:00,1299,0,1069
30-05-16 5:32:00,1299,0,1069
30-05-16 5:36:00,1299,0,1069
30-05-16 5:40:00,1299,0,1069
30-05-16 5:44:00,1299,0,1069
30-05-16 5:48:00,1299,0,1069
30-05-16 5:52:00,1299,0,1069
30-05-16 5:56:00,1299,0,1069
30-05-16 6:00:00,1299,0,1069
30-05-16 6:04:00,1299,0,1069
30-05-16 6:08:00,1299,0,1069
30-05-16 6:12:00,1299,0,1069
30-05-16 6:16:00,1299,0,1069
30-05-16 6:20:00,1299,0,1069
30-05-16 6:24:00,1299,0,1069
30-05-16 6:28:00,1299,0,1069
30-05-16 6:32:00,1299,0,1069
30-05-16 6:36:00,1299,0,1069
30-05-16 6:40:00,1299,0,1069
30-05-16 6:44:00,1299,0,1069
30-05-16 6:48:00,1299,0,1069
30-05-16 6:52:00,1299,0,1069
30-05-16 6:56:00,1299,0,1069
30-05-16 7:00:00,1299,0,1069
30-05-16 7:04:00,1299,0,1069
30-05-16 7:08:00,1299,0,1069
30-05-16 7:12:00,1319,0,1099
30-05-16 7:16:00,1319,0,1099
30-05-16 7:20:00,1319,0,1099
30-05-16 7:24:00,1319,0,1099
30-05-16 7:28:00,1319,0,1099
30-05-16 7:32:00,1319,0,1099
30-05-16 7:36:00,1319,0,1099
30-05-16 7:40:00,1319,0,1099
30-05-16 7:44:00,1319,0,1099
30-05-16 7:48:00,1319,0,1099
30-05-16 7:52:00,1319,0,1099
30-05-16 7:56:00,1319,0,1099
